movie_name,domestic,worldwide_gross,Distributor,movie_id,titleType,runtimeMinutes,genres,Rating,numVotes,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,Certification,month_number,budget,G,NC-17,PG,PG-13,R,success
The Color Purple,44047642,67519191,Warner Bros.,tt1200263,movie,141,"Drama,Musical",6.8,20433,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,PG-13,12,90000000,0,0,0,1,0,0
Poor Things,10269036,117625455,Searchlight Pictures,tt14230458,movie,141,"Comedy,Drama,Romance",7.7,391200,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,R,12,35000000,0,0,0,0,1,1
The Flash,108133313,271333313,Warner Bros.,tt0439572,movie,144,"Action,Adventure,Fantasy",6.6,246692,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PG-13,6,220000000,0,0,0,1,0,0
Creation of the Gods I: Kingdom of Storms,1686246,373044244,Well Go USA Entertainment,tt6979756,movie,148,"Action,Adventure,Drama",6.6,6527,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PG-13,9,110300000,0,0,0,1,0,1
Guardians of the Galaxy Vol. 3,358995815,845555777,Walt Disney Studios Motion Pictures,tt6791350,movie,150,"Action,Adventure,Comedy",7.9,469114,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PG-13,5,250000000,0,0,0,1,0,1
Anatomy of a Fall,3742039,35607937,Neon,tt17009710,movie,151,"Crime,Drama,Mystery",7.6,209298,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,R,10,7299105,0,0,0,0,1,1
Indiana Jones and the Dial of Destiny,174480468,383963057,Walt Disney Studios Motion Pictures,tt1462764,movie,154,"Action,Adventure,Sci-Fi",6.5,232223,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,PG-13,6,300000000,0,0,0,1,0,0
The Hunger Games: The Ballad of Songbirds & Snakes,159719625,337371917,Lionsgate,tt10545296,movie,157,"Action,Adventure,Drama",6.6,181901,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PG-13,11,100000000,0,0,0,1,0,1
Napoleon,60512228,221394838,Columbia Pictures,tt13287846,movie,158,"Action,Adventure,Biography",6.3,185903,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,11,200000000,0,0,0,0,1,0
Mission: Impossible - Dead Reckoning Part One,172135383,567535383,Paramount Pictures,tt9603212,movie,163,"Action,Adventure,Thriller",7.6,326371,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,PG-13,7,291000000,0,0,0,1,0,0
John Wick: Chapter 4,187131806,440157245,Lionsgate,tt10366206,movie,169,"Action,Crime,Thriller",7.6,409905,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,R,3,100000000,0,0,0,0,1,1
Taylor Swift: The Eras Tour,179817571,261656269,AMC Theatres,tt28814949,movie,169,"Documentary,Music,Musical",8,25810,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,PG-13,10,20000000,0,0,0,1,0,1
Renaissance: A Film by Beyonce,33223373,43989684,AMC Theatres,tt29354040,movie,169,"Documentary,Music",8.6,3837,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,PG-13,12,20000000,0,0,0,1,0,0
The Wandering Earth II,3444487,615023132,Well Go USA Entertainment,tt13539646,movie,173,"Action,Adventure,Drama",6.7,16368,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PG,1,88000000,0,0,1,0,0,1
Beau Is Afraid,7740323,11955354,A24,tt13521006,movie,179,"Comedy,Drama,Horror",6.6,78371,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,R,4,35000000,0,0,0,0,1,0
Oppenheimer,326101370,975227046,Universal Pictures,tt15398776,movie,180,"Biography,Drama,History",8.2,1021275,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,R,7,100000000,0,0,0,0,1,1
Killers of the Flower Moon,67292161,157026901,Paramount Pictures,tt5537002,movie,206,"Crime,Drama,History",7.5,306163,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,R,10,200000000,0,0,0,0,1,0
