movie_id,movie_name,year,certificate,runtime,genre,rating,description,director,director_id,star,star_id,votes,Domestic gross (North America),Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,G,NC-17,PG,PG-13,R,release_date,budget,worldwide_gross,is_profitable,month_number
tt7040874,A Simple Favor,2018,R,117 min,"Comedy,Crime,Mystery",6.8,"Stephanie is a single mother with a parenting vlog who befriends Emily, a secretive upper-class woman who has a child at the same elementary school. When Emily goes missing, Stephanie takes it upon herself to investigate.",Paul Feig,/name/nm0082450/,"Anna Kendrick, 
Blake Lively, 
Henry Golding, 
Andrew Rannells","/name/nm0447695/,/name/nm0515116/,/name/nm6525901/,/name/nm0710330/",152256,53548586,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2018-08-29,20000000,97628717,TRUE,8
tt1598778,Contagion,2011,PG-13,106 min,"Drama,Thriller",6.8,"Healthcare professionals, government officials and everyday people find themselves in the midst of a pandemic as the CDC works to find a cure.",Steven Soderbergh,/name/nm0001752/,"Matt Damon, 
Kate Winslet, 
Jude Law, 
Gwyneth Paltrow","/name/nm0000354/,/name/nm0000701/,/name/nm0000179/,/name/nm0000569/",306581,75658097,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2011-09-08,60000000,137551594,FALSE,9
tt1037705,The Book of Eli,2010,R,118 min,"Action,Adventure,Drama",6.8,"A post-apocalyptic tale, in which a lone man fights his way across America in order to protect a sacred book that holds the secrets to saving humankind.","Albert Hughes, 
Allen Hughes",/name/nm0400436/,"Denzel Washington, 
Mila Kunis, 
Ray Stevenson, 
Gary Oldman","/name/nm0400441/,/name/nm0000243/,/name/nm0005109/,/name/nm0829032/,/name/nm0000198/",322870,94835059,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2010-01-11,80000000,158750817,FALSE,1
tt0212985,Hannibal,2001,R,131 min,"Crime,Drama,Thriller",6.8,"Living in exile, Dr. Hannibal Lecter tries to reconnect with now disgraced F.B.I. Agent Clarice Starling, and finds himself a target for revenge from a powerful victim.",Ridley Scott,/name/nm0000631/,"Anthony Hopkins, 
Julianne Moore, 
Gary Oldman, 
Ray Liotta","/name/nm0000164/,/name/nm0000194/,/name/nm0000198/,/name/nm0000501/",279245,165092268,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2001-02-08,87000000,350100280,TRUE,2
tt0112442,Bad Boys,1995,R,119 min,"Action,Comedy,Crime",6.8,Two hip detectives protect a witness to a murder while investigating a case of stolen heroin from the evidence storage room from their police precinct.,Michael Bay,/name/nm0000881/,"Will Smith, 
Martin Lawrence, 
Lisa Boyle, 
Michael Taliferro","/name/nm0000226/,/name/nm0001454/,/name/nm0102288/,/name/nm0848075/",270812,65807024,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1995-04-07,19000000,141247413,TRUE,4
tt0339291,A Series of Unfortunate Events,2004,PG,108 min,"Adventure,Comedy,Family",6.8,"When a massive fire kills their parents, three children are delivered to the custody of cousin and stage actor Count Olaf, who is secretly plotting to steal their parents' vast fortune.",Brad Silberling,/name/nm0797869/,"Jim Carrey, 
Jude Law, 
Meryl Streep, 
Liam Aiken","/name/nm0000120/,/name/nm0000179/,/name/nm0000658/,/name/nm0014582/",212374,118627117,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2004-09-17,140000000,209100000,FALSE,9
tt0104431,Home Alone 2: Lost in New York,1992,PG,120 min,"Adventure,Comedy,Crime",6.8,"One year after Kevin McCallister was left home alone and had to defeat a pair of bumbling burglars, he accidentally finds himself stranded in New York City - and the same criminals are not far behind.",Chris Columbus,/name/nm0001060/,"Macaulay Culkin, 
Joe Pesci, 
Daniel Stern, 
Catherine O'Hara","/name/nm0000346/,/name/nm0000582/,/name/nm0827663/,/name/nm0001573/",370693,173585516,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1992-11-19,28000000,358994850,TRUE,11
tt0165710,Detroit Rock City,1999,R,95 min,"Adventure,Comedy,Music",6.8,"In 1978, four rebellious teenagers try to scam their way into a KISS concert.",Adam Rifkin,/name/nm0726472/,"Edward Furlong, 
Giuseppe Andrews, 
James DeBello, 
Sam Huntington","/name/nm0000411/,/name/nm0004709/,/name/nm0004867/,/name/nm0403134/",39970,4217115,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1999-08-13,34000000,5825314,FALSE,8
tt2404435,The Magnificent Seven,2016,PG-13,132 min,"Action,Adventure,Western",6.8,Seven gunmen from a variety of backgrounds are brought together by a vengeful young widow to protect her town from the private army of a destructive industrialist.,Antoine Fuqua,/name/nm0298807/,"Denzel Washington, 
Chris Pratt, 
Ethan Hawke, 
Vincent D'Onofrio","/name/nm0000243/,/name/nm0695435/,/name/nm0000160/,/name/nm0000352/",215232,93432655,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2016-09-14,90000000,162525156,FALSE,9
tt1981115,Thor: The Dark World,2013,PG-13,112 min,"Action,Adventure,Fantasy",6.8,"When the Dark Elves attempt to plunge the universe into darkness, Thor must embark on a perilous and personal journey that will reunite him with doctor Jane Foster.",Alan Taylor,/name/nm0851930/,"Chris Hemsworth, 
Natalie Portman, 
Tom Hiddleston, 
Stellan Skarsgård","/name/nm1165110/,/name/nm0000204/,/name/nm1089991/,/name/nm0001745/",690206,206362140,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013-10-30,170000000,644602516,TRUE,10
tt0444653,Keeping Mum,2005,R,99 min,"Comedy,Crime",6.8,"A pastor preoccupied with writing the perfect sermon fails to realize that his wife is having an affair, and his children are up to no good.",Niall Johnson,/name/nm0425894/,"Rowan Atkinson, 
Kristin Scott Thomas, 
Maggie Smith, 
Patrick Swayze","/name/nm0000100/,/name/nm0000218/,/name/nm0001749/,/name/nm0000664/",35181,1618957,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2005-12-02,169000,1600000,TRUE,12
tt0102307,Light Sleeper,1992,R,103 min,"Crime,Drama",6.8,A drug dealer reconsiders his profession when his boss plans to go straight and an old flame reappears.,Paul Schrader,/name/nm0001707/,"Willem Dafoe, 
Susan Sarandon, 
Dana Delany, 
David Clennon","/name/nm0000353/,/name/nm0000215/,/name/nm0001127/,/name/nm0166359/",8246,1050861,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1992-08-21,5000000,1050861,FALSE,8
